stock name,price,board,volume,buy_volume,sell_volume,date,time,Period End 1,Revenue 1,P&L 1,EPS 1,Period End 2,Revenue 2,P&L 2,EPS 2,Period End 3,Revenue 3,P&L 3,EPS 3,Period End 4,Revenue 4,P&L 4,EPS 4,Financial Date,Sales,Ebitda,Ebit,Net Profit,Intangibles,Fixed Asset,Long Term Investment,Inventories,Cash,Current Liabilites,Long_debt,Provisions,Minorities,Total Shareholder Equity,Operating Margin,Return on Equity Capital,Net Profit Margin,Current Ratio,Debt to Capital at book 
FINTEC GLOBAL BERHAD - WARRANTS A 2014/2024,0.010,Ace,800,"0.010 / 77,837","0.015 / 12,421",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Jan 2014,"3,700","1,634","1,309",-645,"2,353","4,400","11,366",0,"3,124","2,528",0,0,0,"23,517",-19.16,-2.94,-17.43,3.14,0
FOCUS DYNAMICS GROUP BERHAD,0.135,Ace,"57,719",0.135 / 150,"0.140 / 9,599",29 Mar 2019,7:12 PM,31 Dec 2018,"4,207","-2,988",-0.11,30 Sep 2018,"6,039","-1,753",-0.06,30 Jun 2018,"6,271",-874,-0.02,31 Mar 2018,"7,545","1,112",0.02,31 Dec 2017,"31,684",-,-,"3,303",88,"13,871",0,"3,186","10,382","12,227",0,0,0,"31,471",17.18,-,10.42,2.44,-
FOCUS POINT HOLDINGS BERHAD,0.340,Ace,146,0.325 / 40,0.345 / 100,29 Mar 2019,7:12 PM,31 Dec 2018,"50,213","4,454",2.70,30 Sep 2018,"46,146","1,819",1.10,30 Jun 2018,"41,934",803,0.49,31 Mar 2018,"40,979",23,0.01,31 Dec 2017,"165,121","13,053","4,367",-458,0,"48,530",895,"45,098","9,900","59,918","9,448",0,0,"52,344",2.8,-0.87,-0.28,1.33,0.33
FOUNDPAC GROUP BERHAD,0.325,Main,"142,095","0.320 / 2,945","0.325 / 12,400",29 Mar 2019,7:12 PM,31 Dec 2018,"11,046","2,940",0.53,30 Sep 2018,"10,252","2,605",0.47,30 Jun 2018,"9,197","1,831",0.32,30 Jun 2018,"9,197","1,831",0.32,30 Jun 2018,"35,534",-,-,"7,527","12,646","17,005",0,"2,949","33,144","2,899",0,0,0,"72,439",30.1,-,21.18,16.43,-
FORMOSA PROSONIC INDUSTRIES,1.800,Main,"6,003",1.790 / 87,1.800 / 101,29 Mar 2019,7:12 PM,31 Dec 2018,"148,983","6,289",2.50,30 Sep 2018,"192,033","16,614",6.70,30 Jun 2018,"122,226","7,101",2.90,31 Mar 2018,"97,278","6,628",2.70,31 Dec 2017,"462,621",-,-,"41,170",0,"101,401","17,035","39,189","149,288","107,847",0,0,0,"286,688",10.39,-,8.9,2.59,-
FRONTKEN CORPORATION BHD,0.990,Main,"276,664","0.990 / 1,346","0.995 / 2,902",29 Mar 2019,7:12 PM,31 Dec 2018,"88,665","20,010",1.78,30 Sep 2018,"85,857","16,532",1.45,30 Jun 2018,"81,780","13,278",1.15,31 Mar 2018,"70,916","7,182",0.60,31 Dec 2017,"296,580",-,-,"29,858","33,761","150,046","1,963","13,475","125,806","109,057","11,547",0,0,"305,973",15.87,-,10.07,2.22,-
FSBM HOLDINGS BERHAD - WARR,0.025,Main,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"3,445","-11,625","-11,971","-11,425","2,620",259,485,"3,200",566,"6,387",0,0,0,"18,559",-331.41,-46.69,-331.64,3.38,0
FSBM HOLDINGS BHD,0.095,Main,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,31 Dec 2018,32,17,0.00,30 Sep 2018,32,-113,-0.08,30 Jun 2018,597,-156,-0.11,31 Mar 2018,418,-295,-0.21,30 Jun 2017,"2,415","-3,035","-3,069","-3,243",0,26,185,0,34,"5,403",0,0,0,"6,229",-133.79,-55.21,-134.29,2.11,0
FREIGHT MANAGEMENT HLDGS BHD,0.595,Main,"1,411",0.590 / 495,0.600 / 2,29 Mar 2019,7:12 PM,31 Dec 2018,"137,832","4,230",1.41,30 Sep 2018,"136,206","6,277",3.10,30 Jun 2018,"129,899","4,225",2.24,31 Dec 2017,"132,027","5,886",3.15,30 Jun 2018,"511,585",-,-,"19,695","1,629","243,033","15,421",0,"42,345","80,068","47,861","1,089",0,"293,722",6.26,-,3.85,2.43,-
GADANG HOLDINGS BHD - WARRANTS 2016 / 2021,0.200,Main,"20,507","0.195 / 3,126","0.200 / 4,235",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 May 2013,"356,466","42,161","32,544","20,470","10,423","64,492",666,"141,212","136,563","160,615","48,817","1,185",0,"266,432",9.56,7.99,5.74,2.27,0.15
G3 GLOBAL BERHAD,0.810,Main,530,0.720 / 100,0.780 / 200,29 Mar 2019,7:12 PM,31 Dec 2018,"7,919","-7,794",-1.89,30 Sep 2018,"4,129","-3,746",-0.91,30 Jun 2018,"12,931","-1,609",-0.39,31 Mar 2018,"4,390","-3,975",-0.96,31 Dec 2017,"31,038",-,-,"-12,799","3,334","1,900",0,"11,496","39,805","17,473",0,0,0,"67,841",-40.78,-,-41.24,4.58,-
GAMUDA-C51: CW GAMUDA BERHAD (MIBB),0.005,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Jul 2013,"3,883,120","727,332","702,417","541,399","94,750","395,050","2,067,998","2,008,275","1,230,210","2,480,759","1,717,265","5,028",0,"5,106,848",19.4,11.83,13.94,2.3,0.25
GAMUDA-C56: CW GAMUDA BERHAD (MACQ),0.030,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Jul 2013,"3,883,120","727,332","702,417","541,399","94,750","395,050","2,067,998","2,008,275","1,230,210","2,480,759","1,717,265","5,028",0,"5,106,848",19.4,11.83,13.94,2.3,0.25
GAMUDA-C58: CW GAMUDA BERHAD (MACQ),0.055,Warr,"2,800",0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Jul 2013,"3,883,120","727,332","702,417","541,399","94,750","395,050","2,067,998","2,008,275","1,230,210","2,480,759","1,717,265","5,028",0,"5,106,848",19.4,11.83,13.94,2.3,0.25
GAMUDA-C57: CW GAMUDA BERHAD (CIMB),0.025,Warr,0,0.020 / 500,"0.050 / 1,592",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Jul 2013,"3,883,120","727,332","702,417","541,399","94,750","395,050","2,067,998","2,008,275","1,230,210","2,480,759","1,717,265","5,028",0,"5,106,848",19.4,11.83,13.94,2.3,0.25
GAMUDA-C59: CW GAMUDA BERHAD (CIMB),0.155,Warr,"1,224",0.155 / 248,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Jul 2013,"3,883,120","727,332","702,417","541,399","94,750","395,050","2,067,998","2,008,275","1,230,210","2,480,759","1,717,265","5,028",0,"5,106,848",19.4,11.83,13.94,2.3,0.25
GAMUDA-C60: CW GAMUDA BERHAD (KIBB),0.095,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Jul 2013,"3,883,120","727,332","702,417","541,399","94,750","395,050","2,067,998","2,008,275","1,230,210","2,480,759","1,717,265","5,028",0,"5,106,848",19.4,11.83,13.94,2.3,0.25
GAMUDA-C61: CW GAMUDA BERHAD (MACQ),0.060,Warr,"1,500",0.000 / 0,"0.065 / 1,000",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Jul 2013,"3,883,120","727,332","702,417","541,399","94,750","395,050","2,067,998","2,008,275","1,230,210","2,480,759","1,717,265","5,028",0,"5,106,848",19.4,11.83,13.94,2.3,0.25
GAMUDA-C64: CW GAMUDA BERHAD (KIBB),0.080,Warr,"4,000",0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Jul 2013,"3,883,120","727,332","702,417","541,399","94,750","395,050","2,067,998","2,008,275","1,230,210","2,480,759","1,717,265","5,028",0,"5,106,848",19.4,11.83,13.94,2.3,0.25
GAMUDA BERHAD-WARRANTS E,0.225,Main,"13,686","0.220 / 2,395",0.225 / 520,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Jul 2013,"3,883,120","727,332","702,417","541,399","94,750","395,050","2,067,998","2,008,275","1,230,210","2,480,759","1,717,265","5,028",0,"5,106,848",19.4,11.83,13.94,2.3,0.25
GAMUDA-C62: CW GAMUDA BERHAD (AM),0.090,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Jul 2013,"3,883,120","727,332","702,417","541,399","94,750","395,050","2,067,998","2,008,275","1,230,210","2,480,759","1,717,265","5,028",0,"5,106,848",19.4,11.83,13.94,2.3,0.25
GAMUDA-C53: CW GAMUDA BERHAD (CIMB),0.005,Warr,0,0.000 / 0,"0.005 / 3,246",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Jul 2013,"3,883,120","727,332","702,417","541,399","94,750","395,050","2,067,998","2,008,275","1,230,210","2,480,759","1,717,265","5,028",0,"5,106,848",19.4,11.83,13.94,2.3,0.25
GAMUDA-C63: CW GAMUDA BERHAD (MIBB),0.090,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Jul 2013,"3,883,120","727,332","702,417","541,399","94,750","395,050","2,067,998","2,008,275","1,230,210","2,480,759","1,717,265","5,028",0,"5,106,848",19.4,11.83,13.94,2.3,0.25
GAMUDA-C65: CW GAMUDA BERHAD (MACQ),0.100,Warr,"31,000",0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Jul 2013,"3,883,120","727,332","702,417","541,399","94,750","395,050","2,067,998","2,008,275","1,230,210","2,480,759","1,717,265","5,028",0,"5,106,848",19.4,11.83,13.94,2.3,0.25
GABUNGAN AQRS BERHAD-WARRANTS B,0.360,Main,"31,987","0.355 / 2,720","0.360 / 1,018",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"406,307","77,287","74,446","42,839",0,"18,031",5,"204,401","63,387","364,335","29,085",0,0,"262,153",18.89,17.86,10.54,1.63,0.22
G3 GLOBAL BERHAD - WARRANTS 2017/2022,0.800,Main,800,0.510 / 300,0.770 / 200,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Jul 2013,"45,504","4,472","2,063","1,075","2,041","23,455",0,"44,175","4,453","39,992",0,0,0,"48,965",5.29,2.14,2.36,1.68,0.16
GADANG HOLDINGS BHD,0.660,Main,"62,203",0.660 / 340,0.665 / 325,29 Mar 2019,7:12 PM,30 Nov 2018,"168,515","16,962",2.57,31 Aug 2018,"129,149","16,538",2.50,31 May 2018,"182,007","23,301",3.53,28 Feb 2018,"152,680","25,029",3.82,31 May 2018,"596,294",-,-,"96,909","17,101","73,783","1,581","904,087","277,927","493,492","201,342","2,507",0,"709,208",22.52,-,16.25,2.82,-
GAS MALAYSIA BERHAD,2.850,Main,30,2.820 / 40,2.850 / 40,29 Mar 2019,7:12 PM,31 Dec 2018,"1,738,527","51,078",3.98,31 Dec 2018,"1,738,527","51,078",3.98,30 Sep 2018,"1,556,281","41,028",3.20,30 Jun 2018,"1,503,186","48,074",3.74,31 Dec 2017,"5,348,821","314,934","243,680","194,638",0,"1,230,951","47,453",0,"218,198","890,129","208,970",0,0,"1,050,343",4.75,18.8,3.64,1.15,0.09
GAMUDA BHD,2.880,Main,"57,234","2.840 / 1,200","2.880 / 9,787",29 Mar 2019,7:12 PM,31 Jan 2019,"1,125,128","189,297",7.02,31 Oct 2018,"903,882","186,447",6.97,31 Jul 2018,"1,214,812","-90,162",-4.10,30 Apr 2018,"1,237,668","212,729",8.16,31 Jul 2018,"4,227,060",-,-,"513,883","1,423,098","1,009,191","2,776,823","2,667,746","1,238,634","3,773,155","4,249,964","299,922",0,"7,951,526",16.04,-,12.16,1.97,-
GCB-CC: CW GUAN CHONG BERHAD (MIBB),0.120,Warr,"14,790",0.115 / 200,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"1,362,713","66,163","44,147","3,415","14,130","403,613","13,029","849,960","27,442","1,052,374","120,726",464,0,"333,674",1.54,1.01,0.25,1.04,0.62
GCB-CA: CW GUAN CHONG BERHAD (RHB),0.240,Warr,"2,437",0.235 / 500,0.330 / 41,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"1,362,713","66,163","44,147","3,415","14,130","403,613","13,029","849,960","27,442","1,052,374","120,726",464,0,"333,674",1.54,1.01,0.25,1.04,0.62
GUAN CHONG BHD,3.550,Main,"4,065",3.550 / 3,3.600 / 411,29 Mar 2019,7:12 PM,31 Dec 2018,"651,292","63,021",13.19,30 Sep 2018,"598,781","43,871",9.18,30 Jun 2018,"491,584","43,030",9.01,31 Mar 2018,"519,689","39,332",8.23,31 Dec 2017,"2,147,914",-,-,"91,045","11,956","373,034","18,353","862,189","39,924","1,049,358","17,464","1,653",0,"479,593",6.36,-,4.24,1.1,-
GCB-CD: CW GUAN CHONG BERHAD (MACQ),0.085,Warr,800,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"1,362,713","66,163","44,147","3,415","14,130","403,613","13,029","849,960","27,442","1,052,374","120,726",464,0,"333,674",1.54,1.01,0.25,1.04,0.62
GD EXPRESS CARRIER BHD,0.345,Main,"35,941","0.340 / 2,375","0.345 / 7,988",29 Mar 2019,7:12 PM,31 Dec 2018,"82,809","10,686",0.19,30 Sep 2018,"74,509","6,472",0.12,30 Jun 2018,"74,360","6,522",0.12,31 Mar 2018,"73,402","2,622",0.05,30 Jun 2018,"292,989",-,-,"23,627",397,"85,850","37,564","1,079","286,277","37,042",0,326,0,"449,681",15.86,-,8.06,10.16,-
GCB-CB: CW GUAN CHONG BERHAD (RHB),0.170,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"1,362,713","66,163","44,147","3,415","14,130","403,613","13,029","849,960","27,442","1,052,374","120,726",464,0,"333,674",1.54,1.01,0.25,1.04,0.62
GD EXPRESS CARRIER  BERHAD- Warrants B 2015/2020,0.060,Main,"6,716","0.055 / 16,757","0.060 / 27,754",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,30 Jun 2013,"135,154","27,086","20,355","13,616",0,"32,160","22,217",648,"18,138","20,756","15,973",83,0,"65,071",15.29,23.22,10.07,2.54,0.25
GCB-CE: CW GUAN CHONG BERHAD (KIBB),0.145,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"1,362,713","66,163","44,147","3,415","14,130","403,613","13,029","849,960","27,442","1,052,374","120,726",464,0,"333,674",1.54,1.01,0.25,1.04,0.62
GEELY-C1: CW GEELY AUTOMOBILE HOLDINGS LIMITED (RHB),0.045,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENM-C41: CW GENTING MALAYSIA BERHAD (CIMB),0.005,Warr,0,0.000 / 0,"0.005 / 4,850",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"8,327,500","2,335,300","1,754,400","1,603,000","4,386,500","6,088,300","1,769,800","87,600","3,720,000","2,040,200","1,482,600","144,600",0,"15,477,600",21.84,11.2,19.25,2.66,0.09
GRAND CENTRAL ENTERPRISES BHD,0.470,Main,2,0.470 / 98,0.495 / 50,29 Mar 2019,7:12 PM,31 Dec 2018,"6,221",-387,-0.22,30 Sep 2018,"6,496",-856,-0.44,30 Jun 2018,"5,768","-1,714",-0.87,31 Mar 2018,"4,690","-2,370",-1.20,31 Dec 2017,"25,894",-674,"-7,311","-4,354",0,"185,976",0,383,"62,986","4,581",0,0,0,"232,311",-19.14,-1.84,-16.81,14.75,0
GENM-C42: CW GENTING MALAYSIA BERHAD (MACQ),0.025,Warr,0,0.020 / 100,"0.025 / 1,000",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"8,327,500","2,335,300","1,754,400","1,603,000","4,386,500","6,088,300","1,769,800","87,600","3,720,000","2,040,200","1,482,600","144,600",0,"15,477,600",21.84,11.2,19.25,2.66,0.09
GABUNGAN AQRS BERHAD,1.330,Main,"25,580","1.320 / 3,933",1.330 / 633,29 Mar 2019,7:12 PM,31 Dec 2018,"108,515","12,421",2.34,30 Sep 2018,"159,271","17,550",3.64,30 Jun 2018,"187,192","19,194",4.16,30 Jun 2018,"187,192","19,194",4.16,31 Dec 2017,"469,468","106,186","90,768","48,034","29,783","32,255","3,765","224,773","136,391","622,753","28,114",0,0,"475,149",19.98,11.63,10.23,1.59,0.17
GENTING MALAYSIA BERHAD,3.200,Main,"99,915",3.200 / 720,3.210 / 700,29 Mar 2019,7:12 PM,31 Dec 2018,"2,507,040","705,388",12.74,30 Sep 2018,"2,598,943","-1,512,073",-26.41,30 Jun 2018,"2,422,126","378,266",6.99,31 Mar 2018,"2,399,498","342,066",6.33,31 Dec 2018,"9,927,600",-,-,"-19,500","4,527,300","14,840,900","117,100","108,500","7,999,700","3,383,400","9,282,700","236,700",0,"17,953,300",1.53,-,-0.2,2.76,-
GENM-C45: CW GENTING MALAYSIA BERHAD (AM),0.120,Warr,"3,040","0.115 / 1,000",0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"8,327,500","2,335,300","1,754,400","1,603,000","4,386,500","6,088,300","1,769,800","87,600","3,720,000","2,040,200","1,482,600","144,600",0,"15,477,600",21.84,11.2,19.25,2.66,0.09
GDB HOLDINGS BERHAD,0.300,Ace,"16,933","0.295 / 1,511","0.300 / 2,928",29 Mar 2019,7:12 PM,31 Dec 2018,"69,344","5,402",0.91,30 Sep 2018,"55,748","6,760",1.15,30 Jun 2018,"68,384","9,131",1.61,,,,,31 Dec 2017,"296,812",-,-,"22,518",0,"12,974",0,0,"11,012","112,216",0,0,0,"39,917",10.28,-,7.59,1.24,-
GENM-C46: CW GENTING MALAYSIA BERHAD (MACQ),0.080,Warr,"28,612","0.075 / 5,000",0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"8,327,500","2,335,300","1,754,400","1,603,000","4,386,500","6,088,300","1,769,800","87,600","3,720,000","2,040,200","1,482,600","144,600",0,"15,477,600",21.84,11.2,19.25,2.66,0.09
GENM-C43: CW GENTING MALAYSIA BERHAD (RHB),0.025,Warr,"4,351",0.000 / 0,"0.030 / 5,700",29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"8,327,500","2,335,300","1,754,400","1,603,000","4,386,500","6,088,300","1,769,800","87,600","3,720,000","2,040,200","1,482,600","144,600",0,"15,477,600",21.84,11.2,19.25,2.66,0.09
GENM-C44: CW GENTING MALAYSIA BERHAD (KIBB),0.075,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"8,327,500","2,335,300","1,754,400","1,603,000","4,386,500","6,088,300","1,769,800","87,600","3,720,000","2,040,200","1,482,600","144,600",0,"15,477,600",21.84,11.2,19.25,2.66,0.09
GENM-C40: CW GENTING MALAYSIA BERHAD (KIBB),0.150,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"8,327,500","2,335,300","1,754,400","1,603,000","4,386,500","6,088,300","1,769,800","87,600","3,720,000","2,040,200","1,482,600","144,600",0,"15,477,600",21.84,11.2,19.25,2.66,0.09
GENETEC TECHNOLOGY BERHAD,1.730,Ace,360,1.700 / 5,1.740 / 500,29 Mar 2019,7:12 PM,31 Dec 2018,"34,519","5,018",12.42,30 Sep 2018,"19,495",802,1.71,30 Jun 2018,"28,790","3,849",9.32,31 Dec 2017,"27,467","3,621",7.67,31 Mar 2018,"101,282",-,-,"3,661","15,560","36,285",0,"14,663","16,119","27,908","10,018",0,0,"77,456",6.37,-,3.61,2.36,-
GENM-C48: CW GENTING MALAYSIA BERHAD (KIBB),0.130,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"8,327,500","2,335,300","1,754,400","1,603,000","4,386,500","6,088,300","1,769,800","87,600","3,720,000","2,040,200","1,482,600","144,600",0,"15,477,600",21.84,11.2,19.25,2.66,0.09
GENM-C51: CW GENTING MALAYSIA BERHAD (MIBB),0.095,Warr,"19,988",0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"8,327,500","2,335,300","1,754,400","1,603,000","4,386,500","6,088,300","1,769,800","87,600","3,720,000","2,040,200","1,482,600","144,600",0,"15,477,600",21.84,11.2,19.25,2.66,0.09
GENM-C50: CW GENTING MALAYSIA BERHAD (CIMB),0.135,Warr,"1,270",0.130 / 50,0.230 / 200,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"8,327,500","2,335,300","1,754,400","1,603,000","4,386,500","6,088,300","1,769,800","87,600","3,720,000","2,040,200","1,482,600","144,600",0,"15,477,600",21.84,11.2,19.25,2.66,0.09
GENM-C47: CW GENTING MALAYSIA BERHAD (RHB),0.115,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"8,327,500","2,335,300","1,754,400","1,603,000","4,386,500","6,088,300","1,769,800","87,600","3,720,000","2,040,200","1,482,600","144,600",0,"15,477,600",21.84,11.2,19.25,2.66,0.09
GENM-C54: CW GENTING MALAYSIA BERHAD (CIMB),0.070,Warr,0,0.060 / 300,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"8,327,500","2,335,300","1,754,400","1,603,000","4,386,500","6,088,300","1,769,800","87,600","3,720,000","2,040,200","1,482,600","144,600",0,"15,477,600",21.84,11.2,19.25,2.66,0.09
GENM-C55: CW GENTING MALAYSIA BERHAD (MACQ),0.045,Warr,"6,600","0.045 / 5,900",0.050 / 600,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"8,327,500","2,335,300","1,754,400","1,603,000","4,386,500","6,088,300","1,769,800","87,600","3,720,000","2,040,200","1,482,600","144,600",0,"15,477,600",21.84,11.2,19.25,2.66,0.09
GENTING PLANTATIONS BERHAD-WARRANT A 13/19,2.750,Main,249,2.600 / 320,2.750 / 45,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"1,384,009","413,188","345,403","227,797","163,139","2,615,223","407,492","145,577","830,995","330,202","861,454","5,584",0,"3,603,935",22.06,6.28,16.46,4.23,0.18
GENTING BHD,6.640,Main,"84,464",6.640 / 30,6.650 / 65,29 Mar 2019,7:12 PM,31 Dec 2018,"5,397,445","1,234,309",17.01,30 Sep 2018,"5,381,457","-731,405",-7.18,30 Jun 2018,"4,823,315","823,524",10.01,31 Mar 2018,"5,250,756","1,117,441",15.74,31 Dec 2018,"20,853,000",-,-,"1,365,600","9,885,900","38,996,000","3,763,900","730,100","30,987,900","10,118,400","25,123,800","551,900",0,"57,388,200",21.07,-,6.55,3.61,-
GENTING PLANTATIONS BERHAD,10.600,Main,"14,024","10.500 / 13,681",10.600 / 16,29 Mar 2019,7:12 PM,31 Dec 2018,"482,338","10,262",1.78,30 Sep 2018,"488,838","17,514",2.93,30 Jun 2018,"402,649","24,825",3.25,31 Dec 2017,"528,417","111,913",14.83,31 Dec 2018,"1,902,899",-,-,"164,898","697,476","4,419,409","158,453","335,859","949,885","883,327","2,279,367","24,230",0,"4,312,443",16.67,-,8.67,2.42,-
GENTINGC55: CW GENTING BERHAD (RHB),0.050,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENM-C52: CW GENTING MALAYSIA BERHAD (KIBB),0.175,Warr,"1,165",0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"8,327,500","2,335,300","1,754,400","1,603,000","4,386,500","6,088,300","1,769,800","87,600","3,720,000","2,040,200","1,482,600","144,600",0,"15,477,600",21.84,11.2,19.25,2.66,0.09
GENTINGC59: CW GENTING BERHAD (RHB),0.075,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENTINGC58: CW GENTING BERHAD (CIMB),0.045,Warr,"10,096","0.040 / 1,200",0.045 / 890,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENTINGC51: CW GENTING BERHAD (CIMB),0.005,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENTINGC62: CW GENTING BERHAD (MACQ),0.100,Warr,531,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENTINGC63: CW GENTING BERHAD (MIBB),0.100,Warr,100,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENP-CI: CW GENTING PLANTATIONS BERHAD (MIBB),0.150,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,31 Dec 2013,"1,384,009","413,188","345,403","227,797","163,139","2,615,223","407,492","145,577","830,995","330,202","861,454","5,584",0,"3,603,935",22.06,6.28,16.46,4.23,0.18
GENTINGC60: CW GENTING BERHAD (KIBB),0.095,Warr,0,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENTINGC64: CW GENTING BERHAD (KIBB),0.055,Warr,200,0.000 / 0,0.000 / 0,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENTINGC56: CW GENTING BERHAD (MACQ),0.030,Warr,0,0.000 / 0,0.030 / 300,29 Mar 2019,7:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GETS GLOBAL BERHAD,0.335,Main,"597,630",0.330 / 65,"0.335 / 4,531",29 Mar 2019,7:12 PM,31 Dec 2018,"6,952","-1,431",-1.07,30 Sep 2018,"6,474","-1,817",-1.29,30 Jun 2018,"8,356","-1,339",-0.52,31 Mar 2018,"8,027",-78,-0.40,30 Jun 2018,"37,495",-,-,"-12,592",0,"71,242",0,"14,194",635,"43,678","2,567",0,0,"47,075",-29.58,-,-33.58,0.53,-
GE-SHEN CORPORATION BHD,0.630,Main,350,0.620 / 50,0.650 / 140,29 Mar 2019,7:12 PM,31 Dec 2018,"43,176",-105,-0.68,31 Dec 2018,"43,176",-105,-0.68,30 Sep 2018,"50,788",920,1.01,30 Jun 2018,"52,209","2,749",3.25,31 Dec 2017,"228,389","31,527","22,036","10,556","31,195","90,530","4,817","25,121","13,186","76,112","32,506",0,0,"102,599",8.5,10.92,4.62,1.25,0.29
